Year,Month,Day,GHI
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,12
2019,1,1,27
2019,1,1,43
2019,1,1,10
2019,1,1,13
2019,1,1,16
2019,1,1,19
2019,1,1,22
2019,1,1,26
2019,1,1,29
2019,1,1,33
2019,1,1,37
2019,1,1,190
2019,1,1,158
2019,1,1,169
2019,1,1,159
2019,1,1,351
2019,1,1,365
2019,1,1,225
2019,1,1,392
2019,1,1,402
2019,1,1,411
2019,1,1,418
2019,1,1,423
2019,1,1,429
2019,1,1,432
2019,1,1,433
2019,1,1,432
2019,1,1,430
2019,1,1,426
2019,1,1,421
2019,1,1,414
2019,1,1,406
2019,1,1,396
2019,1,1,384
2019,1,1,372
2019,1,1,358
2019,1,1,342
2019,1,1,326
2019,1,1,307
2019,1,1,289
2019,1,1,269
2019,1,1,248
2019,1,1,225
2019,1,1,202
2019,1,1,179
2019,1,1,155
2019,1,1,131
2019,1,1,108
2019,1,1,84
2019,1,1,62
2019,1,1,41
2019,1,1,24
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,1,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,10
2019,1,2,22
2019,1,2,36
2019,1,2,86
2019,1,2,110
2019,1,2,135
2019,1,2,160
2019,1,2,184
2019,1,2,208
2019,1,2,232
2019,1,2,255
2019,1,2,276
2019,1,2,297
2019,1,2,317
2019,1,2,336
2019,1,2,353
2019,1,2,370
2019,1,2,385
2019,1,2,320
2019,1,2,336
2019,1,2,345
2019,1,2,348
2019,1,2,351
2019,1,2,356
2019,1,2,367
2019,1,2,362
2019,1,2,363
2019,1,2,358
2019,1,2,336
2019,1,2,333
2019,1,2,329
2019,1,2,338
2019,1,2,331
2019,1,2,329
2019,1,2,317
2019,1,2,306
2019,1,2,288
2019,1,2,259
2019,1,2,246
2019,1,2,248
2019,1,2,225
2019,1,2,209
2019,1,2,190
2019,1,2,172
2019,1,2,154
2019,1,2,136
2019,1,2,117
2019,1,2,99
2019,1,2,73
2019,1,2,56
2019,1,2,40
2019,1,2,30
2019,1,2,16
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,2,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,8
2019,1,3,17
2019,1,3,27
2019,1,3,39
2019,1,3,53
2019,1,3,67
2019,1,3,81
2019,1,3,165
2019,1,3,188
2019,1,3,212
2019,1,3,143
2019,1,3,158
2019,1,3,180
2019,1,3,225
2019,1,3,240
2019,1,3,198
2019,1,3,241
2019,1,3,253
2019,1,3,387
2019,1,3,261
2019,1,3,269
2019,1,3,418
2019,1,3,425
2019,1,3,431
2019,1,3,303
2019,1,3,305
2019,1,3,306
2019,1,3,439
2019,1,3,306
2019,1,3,303
2019,1,3,428
2019,1,3,422
2019,1,3,413
2019,1,3,404
2019,1,3,392
2019,1,3,380
2019,1,3,286
2019,1,3,185
2019,1,3,174
2019,1,3,150
2019,1,3,193
2019,1,3,178
2019,1,3,255
2019,1,3,146
2019,1,3,129
2019,1,3,113
2019,1,3,96
2019,1,3,80
2019,1,3,65
2019,1,3,50
2019,1,3,36
2019,1,3,23
2019,1,3,12
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,3,0
2019,1,4,0
2019,1,4,0
2019,1,4,0
2019,1,4,0
2019,1,4,0
2019,1,4,0
2019,1,4,0
2019,1,4,0
2019,1,4,0
2019,1,4,0
2019,1,4,0
2019,1,4,0
2019,1,4,0
2019,1,4,0
2019,1,4,0
2019,1,4,0
2019,1,4,0
2019,1,4,0
2019,1,4,0
2019,1,4,0
2019,1,4,0
2019,1,4,0
2019,1,4,0
2019,1,4,0
2019,1,4,0
2019,1,4,0
2019,1,4,0
2019,1,4,0
2019,1,4,0
2019,1,4,0
2019,1,4,0
2019,1,4,0
2019,1,4,0
2019,1,4,0
